Name,city_ibge_code,estimated_population_2019
Triunfo-PB,2516805.0,9455.0
São Vicente do Seridó-PB,2515401.0,10775.0
Curral Velho-PB,2505303.0,2516.0
Damião-PB,2505352.0,5330.0
Várzea-PB,2517100.0,2810.0
Vista Serrana-PB,2505501.0,3798.0
Zabelê-PB,2517407.0,2240.0
Teixeira-PB,2516706.0,15161.0
Água Branca-PB,2500106.0,10234.0
Vieirópolis-PB,2517209.0,5348.0
Tenório-PB,2516755.0,3058.0
Tacima-PB,2516409.0,10911.0
Tavares-PB,2516607.0,14726.0
São Sebastião do Umbuzeiro-PB,2515203.0,3489.0
Ibiara-PB,2506608.0,5929.0
Nazarezinho-PB,2510006.0,7301.0
Nova Floresta-PB,2510105.0,10638.0
Mãe d'Água-PB,2508703.0,4009.0
Natuba-PB,2509909.0,10454.0
Nova Palmeira-PB,2510303.0,4906.0
Olho d'Água-PB,2510402.0,6526.0
Olivedos-PB,2510501.0,3932.0
Nova Olinda-PB,2510204.0,5949.0
Igaracy-PB,2502607.0,6117.0
Maturéia-PB,2509396.0,6569.0
Matinhas-PB,2509339.0,4500.0
Mato Grosso-PB,2509370.0,2908.0
Mogeiro-PB,2509404.0,13284.0
Monteiro-PB,2509701.0,33222.0
Mulungu-PB,2509800.0,9902.0
Montadas-PB,2509503.0,5669.0
Monte Horebe-PB,2509602.0,4816.0
Picuí-PB,2511400.0,18703.0
Piancó-PB,2511301.0,16075.0
Gurjão-PB,2506509.0,3428.0
Pedras de Fogo-PB,2511202.0,28458.0
Pedro Régis-PB,2512721.0,6089.0
Pilõezinhos-PB,2511707.0,4976.0
Pilar-PB,2511509.0,11917.0
Pilões-PB,2511608.0,6635.0
Passagem-PB,2510709.0,2419.0
Ouro Velho-PB,2510600.0,3039.0
Parari-PB,2510659.0,1771.0
Pedra Branca-PB,2511004.0,3801.0
Pedra Lavrada-PB,2511103.0,7843.0
Patos-PB,2510808.0,107605.0
Paulista-PB,2510907.0,12347.0
Juarez Távora-PB,2507606.0,7936.0
Juazeirinho-PB,2507705.0,18171.0
João Pessoa-PB,2507507.0,809015.0
Joca Claudino-PB,2513653.0,2636.0
Juripiranga-PB,2507903.0,10756.0
Juru-PB,2508000.0,9867.0
Junco do Seridó-PB,2507804.0,7150.0
Itaporanga-PB,2507002.0,24692.0
Itapororoca-PB,2507101.0,18664.0
Itabaiana-PB,2506905.0,24477.0
Ingá-PB,2506806.0,18103.0
Jericó-PB,2507408.0,7739.0
Itatuba-PB,2507200.0,10962.0
Jacaraú-PB,2507309.0,14431.0
Lagoa-PB,2508109.0,4666.0
Mari-PB,2509107.0,21837.0
Marcação-PB,2509057.0,8558.0
Manaíra-PB,2509008.0,10955.0
Massaranduba-PB,2509206.0,13918.0
Mataraca-PB,2509305.0,8434.0
Marizópolis-PB,2509156.0,6617.0
Mamanguape-PB,2508901.0,44882.0
Pirpirituba-PB,2511806.0,10579.0
Lagoa de Dentro-PB,2508208.0,7719.0
Lagoa Seca-PB,2508307.0,27503.0
Imaculada-PB,2506707.0,11819.0
Lucena-PB,2508604.0,13080.0
Malta-PB,2508802.0,5759.0
Lastro-PB,2508406.0,2737.0
Livramento-PB,2508505.0,7256.0
Logradouro-PB,2508554.0,4332.0
São Mamede-PB,2514909.0,7724.0
Sousa-PB,2516201.0,69444.0
Esperança-PB,2506004.0,33007.0
Solânea-PB,2516003.0,26407.0
Sossêgo-PB,2516151.0,3555.0
Soledade-PB,2516102.0,14989.0
São Bento-PB,2513901.0,34031.0
São Domingos-PB,2513968.0,3073.0
São Bentinho-PB,2513927.0,4529.0
Sumé-PB,2516300.0,16966.0
Serra Redonda-PB,2515807.0,7041.0
Serra Branca-PB,2515500.0,13699.0
Serra Grande-PB,2515708.0,2909.0
Serra da Raiz-PB,2515609.0,3148.0
Sertãozinho-PB,2515930.0,5024.0
Sobrado-PB,2515971.0,7783.0
Serraria-PB,2515906.0,6099.0
Fagundes-PB,2506103.0,11253.0
São José dos Cordeiros-PB,2514800.0,3628.0
São José dos Ramos-PB,2514453.0,5957.0
São José do Brejo do Cruz-PB,2514651.0,1801.0
São José do Sabugi-PB,2514701.0,4141.0
Duas Estradas-PB,2505808.0,3596.0
São João do Tigre-PB,2514107.0,4422.0
São João do Cariri-PB,2514008.0,4199.0
São João do Rio do Peixe-PB,2500700.0,18034.0
São José da Lagoa Tapada-PB,2514206.0,7630.0
São José de Caiana-PB,2514305.0,6359.0
São Domingos do Cariri-PB,2513943.0,2615.0
São Francisco-PB,2513984.0,3392.0
Emas-PB,2505907.0,3522.0
São José de Princesa-PB,2514552.0,4003.0
São José do Bonfim-PB,2514602.0,3557.0
São José de Espinharas-PB,2514404.0,4682.0
São José de Piranhas-PB,2514503.0,20251.0
Remígio-PB,2512705.0,19621.0
Queimadas-PB,2512507.0,43967.0
Quixaba-PB,2512606.0,1956.0
Riachão-PB,2512747.0,3588.0
Riachão do Bacamarte-PB,2512754.0,4521.0
Guarabira-PB,2506301.0,58833.0
Riacho de Santo Antônio-PB,2512788.0,1948.0
Riacho dos Cavalos-PB,2512804.0,8526.0
Puxinanã-PB,2512408.0,13680.0
Gurinhém-PB,2506400.0,14129.0
Pombal-PB,2512101.0,32801.0
Pocinhos-PB,2512002.0,18564.0
Pitimbu-PB,2511905.0,19065.0
Prata-PB,2512200.0,4209.0
Princesa Isabel-PB,2512309.0,23345.0
Poço de José de Moura-PB,2512077.0,4307.0
Poço Dantas-PB,2512036.0,3888.0
Riachão do Poço-PB,2512762.0,4509.0
Santa Rita-PB,2513703.0,136586.0
Frei Martinho-PB,2506202.0,2989.0
Santa Teresinha-PB,2513802.0,4573.0
Santana de Mangueira-PB,2513505.0,5162.0
Santa Inês-PB,2513356.0,3595.0
Santa Luzia-PB,2513406.0,15382.0
Santo André-PB,2513851.0,2521.0
Sapé-PB,2515302.0,52625.0
Santana dos Garrotes-PB,2513604.0,7031.0
Salgadinho-PB,2513000.0,3885.0
Rio Tinto-PB,2512903.0,24176.0
Santa Helena-PB,2513307.0,5889.0
Gado Bravo-PB,2506251.0,8316.0
Santa Cruz-PB,2513208.0,6583.0
Salgado de São Félix-PB,2513109.0,12140.0
Santa Cecília-PB,2513158.0,6558.0
Brejo do Cruz-PB,2502805.0,14122.0
Brejo dos Santos-PB,2502904.0,6449.0
Cabaceiras-PB,2503100.0,5611.0
Caaporã-PB,2503001.0,21828.0
Bom Sucesso-PB,2502300.0,4975.0
Bom Jesus-PB,2502201.0,2561.0
Borborema-PB,2502706.0,5263.0
Bonito de Santa Fé-PB,2502409.0,11917.0
Boqueirão-PB,2502508.0,17804.0
Cacimba de Dentro-PB,2503506.0,17187.0
Cacimbas-PB,2503555.0,7173.0
Caiçara-PB,2503605.0,7201.0
Cajazeiras-PB,2503704.0,61993.0
Cachoeira dos Índios-PB,2503308.0,10244.0
Cacimba de Areia-PB,2503407.0,3682.0
Cabedelo-PB,2503209.0,67736.0
Barra de Santana-PB,2501575.0,8359.0
Baraúna-PB,2501534.0,4892.0
Barra de Santa Rosa-PB,2501609.0,15384.0
Barra de São Miguel-PB,2501708.0,6036.0
Aparecida-PB,2500775.0,8347.0
Aroeiras-PB,2501302.0,19153.0
Arara-PB,2500908.0,13470.0
Algodão de Jandaíra-PB,2500577.0,2567.0
Alhandra-PB,2500601.0,19588.0
Amparo-PB,2500734.0,2238.0
Areia de Baraúnas-PB,2501153.0,2128.0
Areial-PB,2501203.0,6998.0
Araruna-PB,2501005.0,20312.0
Araçagi-PB,2500809.0,16987.0
Areia-PB,2501104.0,22819.0
Bananeiras-PB,2501500.0,21318.0
Aguiar-PB,2500205.0,5640.0
Alagoinha-PB,2500502.0,14489.0
Alcantil-PB,2500536.0,5492.0
Assunção-PB,2501351.0,3990.0
