;Fora do prazo (antecipou) - AstraZeneca;Fora do prazo (antecipou) - CoronaVac;Fora do prazo (antecipou) - Pfizer;Dentro do prazo - AstraZeneca;Dentro do prazo - CoronaVac;Dentro do prazo - Pfizer;Fora do prazo (atrasou) - AstraZeneca;Fora do prazo (atrasou) - CoronaVac;Fora do prazo (atrasou) - Pfizer;Abandono - AstraZeneca;Abandono - CoronaVac;Abandono - Pfizer
2021-02-25;0.0;0.0;0.0;0.0;8.0;0.0;0.0;15.0;0.0;0.0;3.0;0.0
2021-02-26;0.0;0.0;0.0;0.0;2.0;0.0;0.0;14.0;0.0;0.0;3.0;0.0
2021-02-27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;3.0;0.0
2021-02-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;3.0;0.0
2021-03-01;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;0.0;0.0;3.0;0.0
2021-03-02;0.0;0.0;0.0;0.0;2.0;0.0;0.0;15.0;0.0;0.0;3.0;0.0
2021-03-03;0.0;0.0;0.0;0.0;4.0;0.0;0.0;12.0;0.0;0.0;3.0;0.0
2021-03-04;0.0;0.0;0.0;0.0;15.0;0.0;0.0;11.0;0.0;0.0;3.0;0.0
2021-03-05;0.0;0.0;0.0;0.0;5.0;0.0;0.0;11.0;0.0;0.0;3.0;0.0
2021-03-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;3.0;0.0
2021-03-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;3.0;0.0
2021-03-08;0.0;0.0;0.0;0.0;1.0;0.0;0.0;14.0;0.0;0.0;3.0;0.0
2021-03-09;0.0;0.0;0.0;0.0;6.0;0.0;0.0;13.0;0.0;0.0;5.0;0.0
2021-03-10;0.0;0.0;0.0;0.0;3.0;0.0;0.0;9.0;0.0;0.0;5.0;0.0
2021-03-11;0.0;0.0;0.0;0.0;2.0;0.0;0.0;14.0;0.0;0.0;5.0;0.0
2021-03-12;0.0;0.0;0.0;0.0;6.0;0.0;0.0;15.0;0.0;0.0;7.0;0.0
2021-03-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;7.0;0.0
2021-03-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;7.0;0.0
2021-03-15;0.0;0.0;0.0;0.0;22.0;0.0;0.0;13.0;0.0;0.0;7.0;0.0
2021-03-16;0.0;0.0;0.0;0.0;9.0;0.0;0.0;12.0;0.0;0.0;7.0;0.0
2021-03-17;0.0;0.0;0.0;0.0;32.0;0.0;0.0;11.0;0.0;0.0;7.0;0.0
2021-03-18;0.0;0.0;0.0;0.0;13.0;0.0;0.0;9.0;0.0;0.0;9.0;0.0
2021-03-19;0.0;0.0;0.0;0.0;4.0;0.0;0.0;9.0;0.0;0.0;9.0;0.0
2021-03-20;0.0;0.0;0.0;0.0;10.0;0.0;0.0;9.0;0.0;0.0;9.0;0.0
2021-03-21;0.0;0.0;0.0;0.0;4.0;0.0;0.0;8.0;0.0;0.0;9.0;0.0
2021-03-22;0.0;0.0;0.0;0.0;8.0;0.0;0.0;7.0;0.0;0.0;9.0;0.0
2021-03-23;0.0;0.0;0.0;0.0;17.0;0.0;0.0;10.0;0.0;0.0;13.0;0.0
2021-03-24;0.0;0.0;0.0;0.0;12.0;0.0;0.0;12.0;0.0;0.0;17.0;0.0
2021-03-25;0.0;0.0;0.0;0.0;23.0;0.0;0.0;13.0;0.0;0.0;30.0;0.0
2021-03-26;0.0;0.0;0.0;0.0;25.0;0.0;0.0;9.0;0.0;0.0;35.0;0.0
2021-03-27;0.0;0.0;0.0;0.0;2.0;0.0;0.0;9.0;0.0;0.0;35.0;0.0
2021-03-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;35.0;0.0
2021-03-29;0.0;0.0;0.0;0.0;12.0;0.0;0.0;9.0;0.0;0.0;35.0;0.0
2021-03-30;0.0;0.0;0.0;0.0;9.0;0.0;0.0;9.0;0.0;0.0;36.0;0.0
2021-03-31;0.0;0.0;0.0;0.0;7.0;0.0;0.0;6.0;0.0;0.0;39.0;0.0
2021-04-01;0.0;0.0;0.0;0.0;39.0;0.0;0.0;6.0;0.0;0.0;43.0;0.0
2021-04-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;44.0;0.0
2021-04-03;0.0;0.0;0.0;0.0;2.0;0.0;0.0;6.0;0.0;0.0;44.0;0.0
2021-04-04;0.0;1.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;44.0;0.0
2021-04-05;0.0;0.0;0.0;0.0;12.0;0.0;0.0;5.0;0.0;0.0;46.0;0.0
2021-04-06;0.0;0.0;0.0;0.0;51.0;0.0;0.0;5.0;0.0;0.0;49.0;0.0
2021-04-07;0.0;1.0;0.0;0.0;140.0;0.0;0.0;4.0;0.0;0.0;49.0;0.0
2021-04-08;0.0;0.0;0.0;0.0;144.0;0.0;0.0;3.0;0.0;0.0;55.0;0.0
2021-04-09;0.0;0.0;0.0;0.0;118.0;0.0;0.0;8.0;0.0;0.0;63.0;0.0
2021-04-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;63.0;0.0
2021-04-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;63.0;0.0
2021-04-12;0.0;0.0;0.0;0.0;3.0;0.0;0.0;8.0;0.0;0.0;68.0;0.0
2021-04-13;0.0;2.0;0.0;0.0;310.0;0.0;0.0;10.0;0.0;0.0;85.0;0.0
2021-04-14;0.0;2.0;0.0;0.0;385.0;0.0;0.0;18.0;0.0;0.0;114.0;0.0
2021-04-15;0.0;0.0;0.0;0.0;17.0;0.0;0.0;15.0;0.0;0.0;133.0;0.0
2021-04-16;0.0;0.0;0.0;0.0;10.0;0.0;0.0;35.0;0.0;0.0;241.0;0.0
2021-04-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.0;0.0;0.0;359.0;0.0
2021-04-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.0;0.0;0.0;415.0;0.0
2021-04-19;0.0;0.0;0.0;0.0;190.0;0.0;0.0;34.0;0.0;0.0;474.0;0.0
2021-04-20;0.0;0.0;0.0;0.0;48.0;0.0;0.0;22.0;0.0;0.0;653.0;0.0
2021-04-21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;902.0;0.0
2021-04-22;0.0;0.0;0.0;0.0;52.0;0.0;0.0;9.0;0.0;0.0;1146.0;0.0
2021-04-23;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;1337.0;0.0
2021-04-24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1631.0;0.0
2021-04-25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1691.0;0.0
2021-04-26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1979.0;0.0
2021-04-27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.0;2278.0;0.0
2021-04-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;109.0;2325.0;0.0
2021-04-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;150.0;2337.0;0.0
2021-04-30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;170.0;2338.0;0.0
2021-05-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;170.0;3259.0;0.0
2021-05-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;170.0;3269.0;0.0
2021-05-03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;190.0;3444.0;0.0
2021-05-04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;190.0;3444.0;0.0
